

[2021-05-08 15:32:54] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-05-08 15:32:56] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-05-08 15:33:17] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-05-08 15:34:45] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-05-08 15:35:00] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-05-08 15:35:15] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-05-08 15:36:12] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-05-08 15:36:56] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-05-08 15:37:20] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-05-08 15:38:26] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-05-08 15:38:57] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-05-08 15:39:32] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-05-08 15:40:23] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-05-08 15:40:59] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-05-08 15:41:30] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-05-08 15:41:32] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-05-08 15:42:45] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-05-08 15:43:19] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-05-08 15:44:06] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-05-08 15:45:34] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-05-08 15:47:04] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-05-08 15:48:27] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-05-08 15:49:56] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-05-08 15:50:29] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-05-08 15:51:37] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-05-08 15:51:46] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-05-08 15:53:50] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-05-08 15:54:01] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-05-08 15:55:07] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-05-08 15:55:53] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-05-08 15:56:19] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-05-08 15:57:44] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-05-08 15:57:47] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-05-08 15:59:15] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2021-05-08 16:02:18] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-05-08 16:03:09] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-05-08 16:04:26] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
