[COT 2021-03-05 02:23:17] 76561198036774377: Set GodMode To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-05 02:23:17] 76561198036774377: Set UnlimitedAmmo To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-05 02:23:17] 76561198036774377: Set UnlimitedStamina To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-05 02:23:21] 76561198036774377: Teleported to position <3309.333984, 252.133560, 12114.132813>
[COT 2021-03-05 04:49:37] 76561198036774377: Spawned Entity Infected (ZmbM_usSoldier_normal_Base<46ff6a00>, -1, 100) at <3033.489014, 367.178101, 6674.448242>
[COT 2021-03-05 04:49:37] 76561198036774377: Spawned Entity Infected (ZmbM_usSoldier_normal_Base<46ffc2b0>, -1, 100) at <3033.489014, 367.178101, 6674.448242>
[COT 2021-03-05 04:49:38] 76561198036774377: Spawned Entity Infected (ZmbM_usSoldier_normal_Base<46ff49c0>, -1, 100) at <3033.489014, 367.178101, 6674.448242>
[COT 2021-03-05 04:49:38] 76561198036774377: Spawned Entity Infected (ZmbM_usSoldier_normal_Base<46ffd2d0>, -1, 100) at <3033.489014, 367.178101, 6674.448242>
[COT 2021-03-05 04:49:38] 76561198036774377: Spawned Entity Infected (ZmbM_usSoldier_normal_Base<46ffeb00>, -1, 100) at <3033.489014, 367.178101, 6674.448242>
[COT 2021-03-05 04:49:38] 76561198036774377: Spawned Entity Infected (ZmbM_usSoldier_normal_Base<46ffdae0>, -1, 100) at <3033.489014, 367.178101, 6674.448242>
[COT 2021-03-05 04:50:12] 76561198036774377: Spawned Entity Stag (Animal_CervusElaphus<47447100>, -1, 400) at <3020.505615, 367.789978, 6681.880859>
[COT 2021-03-05 04:50:17] 76561198036774377: Spawned Entity Ram (Animal_OvisAries<47442ab0>, -1, 280) at <3020.505615, 367.789978, 6681.880859>
[COT 2021-03-05 04:50:19] 76561198036774377: Spawned Entity Ram (Animal_OvisAries<47444220>, -1, 280) at <3027.045410, 368.276489, 6687.179688>
[COT 2021-03-05 04:51:39] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<4585fc80>, -1, 100) at <3135.913574, 363.946594, 6646.156250>
[COT 2021-03-05 04:51:39] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<45866550>, -1, 100) at <3135.913574, 363.946594, 6646.156250>
[COT 2021-03-05 04:51:39] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<4585abe0>, -1, 100) at <3135.913574, 363.946594, 6646.156250>
[COT 2021-03-05 04:51:39] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<4586e650>, -1, 100) at <3135.913574, 363.946594, 6646.156250>
[COT 2021-03-05 04:51:39] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<45869dc0>, -1, 100) at <3135.913574, 363.946594, 6646.156250>
[COT 2021-03-05 04:51:40] 76561198036774377: Spawned Entity Infected (ZmbM_usSoldier_normal_Base<45870ea0>, -1, 100) at <3135.913574, 363.946594, 6646.156250>
[COT 2021-03-05 04:51:41] 76561198036774377: Spawned Entity Infected (ZmbM_usSoldier_normal_Base<4586f670>, -1, 100) at <3135.913574, 363.946594, 6646.156250>
[COT 2021-03-05 04:51:41] 76561198036774377: Spawned Entity Infected (ZmbM_usSoldier_normal_Base<4586fe80>, -1, 100) at <3135.913574, 363.946594, 6646.156250>
[COT 2021-03-05 04:51:41] 76561198036774377: Spawned Entity Infected (ZmbM_usSoldier_normal_Base<45871ec0>, -1, 100) at <3135.913574, 363.946594, 6646.156250>
[COT 2021-03-05 04:51:41] 76561198036774377: Spawned Entity Infected (ZmbM_usSoldier_normal_Base<4586ade0>, -1, 100) at <3135.913574, 363.946594, 6646.156250>
[COT 2021-03-05 04:51:42] 76561198036774377: Spawned Entity Infected (ZmbM_usSoldier_normal_Base<458726d0>, -1, 100) at <3135.913574, 363.946594, 6646.156250>
[COT 2021-03-05 04:51:42] 76561198036774377: Spawned Entity Infected (ZmbM_usSoldier_normal_Base<45872ee0>, -1, 100) at <3135.913574, 363.946594, 6646.156250>
[COT 2021-03-05 04:51:43] 76561198036774377: Spawned Entity Infected (ZmbM_usSoldier_normal_Base<45867d80>, -1, 100) at <3135.913574, 363.946594, 6646.156250>
[COT 2021-03-05 04:51:43] 76561198036774377: Spawned Entity Infected (ZmbM_usSoldier_normal_Base<458797b0>, -1, 100) at <3135.913574, 363.946594, 6646.156250>
[COT 2021-03-05 04:51:43] 76561198036774377: Spawned Entity Infected (ZmbM_usSoldier_normal_Base<45877770>, -1, 100) at <3135.913574, 363.946594, 6646.156250>
[COT 2021-03-05 04:53:00] 76561198036774377: Spawned Entity Infected (ZmbM_usSoldier_normal_Base<4519c0b0>, -1, 100) at <3134.451660, 364.109375, 6647.048340>
[COT 2021-03-05 04:53:00] 76561198036774377: Spawned Entity Infected (ZmbM_usSoldier_normal_Base<4519f110>, -1, 100) at <3134.451660, 364.109375, 6647.048340>
[COT 2021-03-05 04:53:00] 76561198036774377: Spawned Entity Infected (ZmbM_usSoldier_normal_Base<451a41b0>, -1, 100) at <3134.451660, 364.109375, 6647.048340>
[COT 2021-03-05 04:53:01] 76561198036774377: Spawned Entity Infected (ZmbM_usSoldier_normal_Base<451a61f0>, -1, 100) at <3134.451660, 364.109375, 6647.048340>
[COT 2021-03-05 04:53:01] 76561198036774377: Spawned Entity Infected (ZmbM_usSoldier_normal_Base<451a0130>, -1, 100) at <3134.451660, 364.109375, 6647.048340>
[COT 2021-03-05 04:53:01] 76561198036774377: Spawned Entity Infected (ZmbM_usSoldier_normal_Base<451a7210>, -1, 100) at <3134.451660, 364.109375, 6647.048340>
[COT 2021-03-05 04:53:01] 76561198036774377: Spawned Entity Infected (ZmbM_usSoldier_normal_Base<4519f920>, -1, 100) at <3134.451660, 364.109375, 6647.048340>
[COT 2021-03-05 04:53:01] 76561198036774377: Spawned Entity Infected (ZmbM_usSoldier_normal_Base<451a9250>, -1, 100) at <3134.451660, 364.109375, 6647.048340>
[COT 2021-03-05 04:53:01] 76561198036774377: Spawned Entity Infected (ZmbM_usSoldier_normal_Base<451ad2d0>, -1, 100) at <3134.451660, 364.109375, 6647.048340>
[COT 2021-03-05 04:53:01] 76561198036774377: Spawned Entity Infected (ZmbM_usSoldier_normal_Base<4519b8a0>, -1, 100) at <3134.451660, 364.109375, 6647.048340>
[COT 2021-03-05 04:53:02] 76561198036774377: Spawned Entity Infected (ZmbM_usSoldier_normal_Base<451aa270>, -1, 100) at <3134.451660, 364.109375, 6647.048340>
[COT 2021-03-05 04:53:02] 76561198036774377: Spawned Entity Infected (ZmbM_usSoldier_normal_Base<451aaa80>, -1, 100) at <3134.451660, 364.109375, 6647.048340>
[COT 2021-03-05 04:53:02] 76561198036774377: Spawned Entity Infected (ZmbM_usSoldier_normal_Base<451a8230>, -1, 100) at <3134.451660, 364.109375, 6647.048340>
[COT 2021-03-05 04:53:02] 76561198036774377: Spawned Entity Infected (ZmbM_usSoldier_normal_Base<451a39a0>, -1, 100) at <3134.451660, 364.109375, 6647.048340>
[COT 2021-03-05 04:55:40] 76561198036774377: Teleported to position <3719.663330, 401.215729, 6013.765625>
[COT 2021-03-05 04:55:44] 76561198036774377: Left the Free Camera
[COT 2021-03-05 05:18:16] 76561198036774377: Spawned Entity 100 Ruble Note (ItemBase<ffb14ce0>, 200, 100) at <3700.872070, 402.380707, 5988.998535>
[COT 2021-03-05 05:20:47] 76561198036774377: Spawned Entity Short Stick (WoodenStick<a44d2b0>, 1, 250) at <3685.380371, 393.696869, 6082.583008>
[COT 2021-03-05 05:20:48] 76561198036774377: Spawned Entity Short Stick (WoodenStick<a451950>, 1, 250) at <3685.380371, 393.696869, 6082.583008>
[COT 2021-03-05 05:20:55] 76561198036774377: Spawned Entity Rope (Rope<56e74750>, -1, 200) at <3685.380371, 393.696869, 6082.583008>
[COT 2021-03-05 05:21:01] 76561198036774377: Spawned Entity 1-M8 Smoke Grenade (M18SmokeGrenade_Purple<401c64b0>, -1, 20) at <3685.380371, 393.696869, 6082.583008>
[COT 2021-03-05 05:21:44] 76561198036774377: Spawned Entity Trip Wire (TripwireTrap_mung<5927f50>, -1, 150) at <3686.266602, 393.738281, 6082.890137>
[COT 2021-03-05 05:30:23] 76561198036774377: Spawned Entity Defender 110 Wheel (Defender110_koleso<e3f2faa0>, -1, 600) at <3716.677002, 402.012451, 5991.816895>
