[COT 2021-02-28 04:08:23] 76561198036774377: Set GodMode To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-02-28 04:08:23] 76561198036774377: Set UnlimitedAmmo To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-02-28 04:08:23] 76561198036774377: Set UnlimitedStamina To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-02-28 04:08:27] 76561198036774377: Healed [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-02-28 04:09:50] 76561198036774377: Teleported to position <3700.913818, 399.963501, 6037.182129>
[COT 2021-02-28 04:37:20] 76561198036774377: Spawned Entity Jeans (Jeans_Blue<3bb8510>, -1, 100) at <3695.252930, 402.012390, 5996.704102>
[COT 2021-02-28 04:37:25] 76561198036774377: Spawned Entity T-Shirt (TShirt_ColorBase<415f90>, -1, 100) at <3695.252930, 402.012390, 5996.704102>
[COT 2021-02-28 04:37:31] 76561198036774377: Spawned Entity Tactical Gloves (TacticalGloves_Black<f9eed830>, -1, 100) at <3695.252930, 402.012390, 5996.704102>
[COT 2021-02-28 04:38:13] 76561198036774377: Spawned Entity Classic Glasses (ThickFramesGlasses<f8f06da0>, -1, 50) at <3697.759766, 402.379700, 5988.988770>
[COT 2021-02-28 04:38:36] 76561198036774377: Entered the Free Camera
[COT 2021-02-28 04:39:13] 76561198036774377: Spawned Entity Brick of Skunk Weed (CP_CannabisBrickSkunk<4bb55f0>, -1, 30) at <4553.383301, 289.274872, 6391.801270>
[COT 2021-02-28 04:39:19] 76561198036774377: Spawned Entity Brick of Skunk Weed (CP_CannabisBrickSkunk<9ca60>, -1, 30) at <4553.578613, 289.274872, 6391.104492>
[COT 2021-02-28 04:39:20] 76561198036774377: Spawned Entity Brick of Skunk Weed (CP_CannabisBrickSkunk<ad6c0>, -1, 30) at <4552.057617, 289.274872, 6392.430664>
[COT 2021-02-28 04:39:22] 76561198036774377: Spawned Entity Brick of Skunk Weed (CP_CannabisBrickSkunk<c5420>, -1, 30) at <4548.253906, 289.274872, 6392.932617>
[COT 2021-02-28 04:39:23] 76561198036774377: Spawned Entity Brick of Skunk Weed (CP_CannabisBrickSkunk<f35a8e70>, -1, 30) at <4548.708496, 289.274872, 6395.557129>
[COT 2021-02-28 04:39:25] 76561198036774377: Spawned Entity Brick of Skunk Weed (CP_CannabisBrickSkunk<360f710>, -1, 30) at <4546.889160, 289.274872, 6395.098633>
[COT 2021-02-28 04:39:26] 76561198036774377: Spawned Entity Brick of Skunk Weed (CP_CannabisBrickSkunk<57921c0>, -1, 30) at <4551.302734, 289.274872, 6398.328613>
