[COT 2021-03-12 02:06:07] 76561198036774377: Set GodMode To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-12 02:06:07] 76561198036774377: Set UnlimitedAmmo To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-12 02:06:07] 76561198036774377: Set UnlimitedStamina To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-12 02:18:33] 76561198036774377: Teleported to position <1018.734070, 128.102905, 6089.503906>
[COT 2021-03-12 02:18:45] 76561198036774377: Entered the Free Camera
[COT 2021-03-12 02:18:54] 76561198036774377: Left the Free Camera
[COT 2021-03-12 02:29:43] 76561198036774377: Spawned Entity AmmoBox .30-06 (TTC_AmmoBox_3006_20Rnd<70fab380>, -1, 100) at <11351.208008, 159.043015, 10654.006836>
[COT 2021-03-12 02:29:44] 76561198036774377: Spawned Entity AmmoBox .30-06 (TTC_AmmoBox_3006_20Rnd<70c9c8b0>, -1, 100) at <11351.208008, 159.043015, 10654.006836>
[COT 2021-03-12 02:29:44] 76561198036774377: Spawned Entity AmmoBox .30-06 (TTC_AmmoBox_3006_20Rnd<70c9f310>, -1, 100) at <11351.208008, 159.043015, 10654.006836>
[COT 2021-03-12 02:29:46] 76561198036774377: Spawned Entity AmmoBox .300BLK (TTC_AmmoBox_300blk_20rnd<708791c0>, -1, 100) at <11351.208008, 159.043015, 10654.006836>
[COT 2021-03-12 02:29:46] 76561198036774377: Spawned Entity AmmoBox .300BLK (TTC_AmmoBox_300blk_20rnd<7085f110>, -1, 100) at <11351.208008, 159.043015, 10654.006836>
[COT 2021-03-12 02:29:46] 76561198036774377: Spawned Entity AmmoBox .300BLK (TTC_AmmoBox_300blk_20rnd<7086ef50>, -1, 100) at <11351.208008, 159.043015, 10654.006836>
[COT 2021-03-12 02:29:46] 76561198036774377: Spawned Entity AmmoBox .300BLK (TTC_AmmoBox_300blk_20rnd<70868560>, -1, 100) at <11351.208008, 159.043015, 10654.006836>
[COT 2021-03-12 02:29:47] 76561198036774377: Spawned Entity AmmoBox .300BLK (TTC_AmmoBox_300blk_20rnd<7519d5e0>, -1, 100) at <11351.208008, 159.043015, 10654.006836>
[COT 2021-03-12 02:29:47] 76561198036774377: Spawned Entity AmmoBox .300BLK (TTC_AmmoBox_300blk_20rnd<7519ced0>, -1, 100) at <11351.208008, 159.043015, 10654.006836>
[COT 2021-03-12 02:29:47] 76561198036774377: Spawned Entity AmmoBox .300BLK (TTC_AmmoBox_300blk_20rnd<75487620>, -1, 100) at <11351.208008, 159.043015, 10654.006836>
