[COT 2021-03-20 16:09:26] 76561198036774377: Set GodMode To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-20 16:09:26] 76561198036774377: Set UnlimitedAmmo To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-20 16:09:26] 76561198036774377: Set UnlimitedStamina To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-20 18:49:26] 76561198036774377: Spawned Entity Wolf (Animal_CanisLupus<1f9ff250>, -1, 200) at <10698.418945, 77.983047, 14549.024414>
[COT 2021-03-20 18:49:26] 76561198036774377: Spawned Entity Wolf (Animal_CanisLupus<1f9fa430>, -1, 200) at <10698.561523, 78.074448, 14548.949219>
[COT 2021-03-20 18:49:38] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<37150580>, -1, 100) at <10698.599609, 78.099022, 14548.928711>
[COT 2021-03-20 18:49:38] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<37150d90>, -1, 100) at <10698.599609, 78.098663, 14548.928711>
[COT 2021-03-20 18:49:38] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<371494a0>, -1, 100) at <10698.599609, 78.098663, 14548.928711>
[COT 2021-03-20 18:49:38] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<37153df0>, -1, 100) at <10698.599609, 78.098663, 14548.928711>
[COT 2021-03-20 18:49:41] 76561198036774377: Spawned Entity Infected (ZmbM_usSoldier_normal_Base<371525c0>, -1, 100) at <10706.390625, 78.078506, 14558.826172>
[COT 2021-03-20 18:49:41] 76561198036774377: Spawned Entity Infected (ZmbM_usSoldier_normal_Base<37155620>, -1, 100) at <10706.390625, 78.078506, 14558.826172>
[COT 2021-03-20 18:49:41] 76561198036774377: Spawned Entity Infected (ZmbM_usSoldier_normal_Base<37152dd0>, -1, 100) at <10706.390625, 78.078506, 14558.826172>
[COT 2021-03-20 18:49:41] 76561198036774377: Spawned Entity Infected (ZmbM_usSoldier_normal_Base<37155e30>, -1, 100) at <10706.390625, 78.078506, 14558.826172>
[COT 2021-03-20 18:49:41] 76561198036774377: Spawned Entity Infected (ZmbM_usSoldier_normal_Base<37156640>, -1, 100) at <10706.390625, 78.078506, 14558.826172>
[COT 2021-03-20 18:49:41] 76561198036774377: Spawned Entity Infected (ZmbM_usSoldier_normal_Base<37158680>, -1, 100) at <10706.390625, 78.078506, 14558.826172>
[COT 2021-03-20 18:49:41] 76561198036774377: Spawned Entity Infected (ZmbM_usSoldier_normal_Base<37156e50>, -1, 100) at <10706.390625, 78.078506, 14558.826172>
[COT 2021-03-20 18:49:42] 76561198036774377: Spawned Entity Infected (ZmbM_usSoldier_normal_Base<37157660>, -1, 100) at <10706.390625, 78.078506, 14558.826172>
[COT 2021-03-20 18:49:42] 76561198036774377: Spawned Entity Infected (ZmbM_usSoldier_normal_Base<37154600>, -1, 100) at <10706.390625, 78.078506, 14558.826172>
[COT 2021-03-20 18:49:42] 76561198036774377: Spawned Entity Infected (ZmbM_usSoldier_normal_Base<37151db0>, -1, 100) at <10706.390625, 78.078506, 14558.826172>
[COT 2021-03-20 18:49:42] 76561198036774377: Spawned Entity Infected (ZmbM_usSoldier_normal_Base<37157e70>, -1, 100) at <10706.390625, 78.078506, 14558.826172>
[COT 2021-03-20 18:49:44] 76561198036774377: Spawned Entity Infected (ZmbM_usSoldier_normal_Base<3715c700>, -1, 100) at <10711.275391, 76.591492, 14552.381836>
[COT 2021-03-20 18:49:44] 76561198036774377: Spawned Entity Infected (ZmbM_usSoldier_normal_Base<371596a0>, -1, 100) at <10711.275391, 76.591492, 14552.381836>
