[COT 2021-03-06 07:01:01] 76561198036774377: Set GodMode To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-06 07:01:01] 76561198036774377: Set UnlimitedAmmo To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-06 07:01:01] 76561198036774377: Set UnlimitedStamina To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-06 07:01:30] 76561198036774377: Teleported to position <3724.211182, 401.469482, 6011.561523>
[COT 2021-03-06 07:47:24] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<4af80f40>, -1, 100) at <4776.630371, 339.175232, 10401.820313>
[COT 2021-03-06 07:47:24] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<4af81f60>, -1, 100) at <4776.630371, 339.175232, 10401.820313>
[COT 2021-03-06 07:47:24] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<4af82f80>, -1, 100) at <4776.630371, 339.175232, 10401.820313>
[COT 2021-03-06 07:47:24] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<4af83fa0>, -1, 100) at <4776.630371, 339.175232, 10401.820313>
[COT 2021-03-06 07:47:24] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<4af847b0>, -1, 100) at <4776.630371, 339.175232, 10401.820313>
[COT 2021-03-06 07:47:25] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<4af84fc0>, -1, 100) at <4776.630371, 339.175232, 10401.820313>
[COT 2021-03-06 07:47:25] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<4af85fe0>, -1, 100) at <4776.630371, 339.175232, 10401.820313>
[COT 2021-03-06 07:47:25] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<4af7e6f0>, -1, 100) at <4776.630371, 339.175232, 10401.820313>
[COT 2021-03-06 07:47:25] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<4af867f0>, -1, 100) at <4776.630371, 339.175232, 10401.820313>
[COT 2021-03-06 07:47:25] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<4af87810>, -1, 100) at <4776.630371, 339.175232, 10401.820313>
[COT 2021-03-06 07:47:25] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<4af88020>, -1, 100) at <4776.630371, 339.175232, 10401.820313>
[COT 2021-03-06 07:47:26] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<4af88830>, -1, 100) at <4776.630371, 339.175232, 10401.820313>
[COT 2021-03-06 07:47:26] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<4af8a060>, -1, 100) at <4776.630371, 339.175232, 10401.820313>
[COT 2021-03-06 07:47:26] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<4af89850>, -1, 100) at <4776.630371, 339.175232, 10401.820313>
[COT 2021-03-06 07:47:26] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<4af69c60>, -1, 100) at <4776.630371, 339.175232, 10401.820313>
[COT 2021-03-06 07:47:26] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<4af67c20>, -1, 100) at <4776.630371, 339.175232, 10401.820313>
[COT 2021-03-06 07:47:27] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<4af69450>, -1, 100) at <4776.630371, 339.175232, 10401.820313>
[COT 2021-03-06 07:47:27] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<9196d960>, -1, 100) at <4776.630371, 339.175232, 10401.820313>
