[COT 2021-03-21 19:26:05] 76561198036774377: Spawned Entity Boxed 5.56x45mm Tracer Rounds (AmmoBox_556x45Tracer_20Rnd<ddbcb580>, -1, 100) at <12400.948242, 49.423466, 5330.826660>
[COT 2021-03-21 19:26:05] 76561198036774377: Spawned Entity Boxed 5.56x45mm Tracer Rounds (AmmoBox_556x45Tracer_20Rnd<ddbc4b90>, -1, 100) at <12400.948242, 49.423466, 5330.826660>
[COT 2021-03-21 19:26:05] 76561198036774377: Spawned Entity Boxed 5.56x45mm Tracer Rounds (AmmoBox_556x45Tracer_20Rnd<ddbccab0>, -1, 100) at <12400.948242, 49.423466, 5330.826660>
[COT 2021-03-21 19:26:06] 76561198036774377: Spawned Entity Boxed 5.56x45mm Tracer Rounds (AmmoBox_556x45Tracer_20Rnd<ee29b5f0>, -1, 100) at <12400.948242, 49.423466, 5330.826660>
[COT 2021-03-21 19:26:26] 76561198036774377: Spawned Entity Boxed 9x39mm Armor-Piercing Rounds (Box_Base<ee2a5860>, -1, 100) at <12400.948242, 49.423466, 5330.826660>
[COT 2021-03-21 19:26:26] 76561198036774377: Spawned Entity Boxed 9x39mm Armor-Piercing Rounds (Box_Base<ee2a11c0>, -1, 100) at <12400.948242, 49.423466, 5330.826660>
[COT 2021-03-21 19:26:26] 76561198036774377: Spawned Entity Boxed 9x39mm Armor-Piercing Rounds (Box_Base<ee2b3350>, -1, 100) at <12400.948242, 49.423466, 5330.826660>
[COT 2021-03-21 19:26:26] 76561198036774377: Spawned Entity Boxed 9x39mm Armor-Piercing Rounds (Box_Base<ee2ad070>, -1, 100) at <12400.948242, 49.423466, 5330.826660>
[COT 2021-03-21 19:26:26] 76561198036774377: Spawned Entity Boxed 9x39mm Armor-Piercing Rounds (Box_Base<ee2afad0>, -1, 100) at <12400.948242, 49.423466, 5330.826660>
[COT 2021-03-21 19:26:27] 76561198036774377: Spawned Entity Boxed 9x39mm Armor-Piercing Rounds (Box_Base<ee2ac250>, -1, 100) at <12400.948242, 49.423466, 5330.826660>
[COT 2021-03-21 19:26:27] 76561198036774377: Spawned Entity Boxed 9x39mm Armor-Piercing Rounds (Box_Base<ee2ac960>, -1, 100) at <12400.948242, 49.423466, 5330.826660>
[COT 2021-03-21 19:26:27] 76561198036774377: Spawned Entity Boxed 9x39mm Armor-Piercing Rounds (Box_Base<ee2b9630>, -1, 100) at <12400.948242, 49.423466, 5330.826660>
[COT 2021-03-21 19:26:27] 76561198036774377: Spawned Entity Boxed 9x39mm Armor-Piercing Rounds (Box_Base<ee2bc090>, -1, 100) at <12400.948242, 49.423466, 5330.826660>
[COT 2021-03-21 19:26:28] 76561198036774377: Spawned Entity Boxed 9x39mm Armor-Piercing Rounds (Box_Base<ee2b79f0>, -1, 100) at <12400.948242, 49.423466, 5330.826660>
[COT 2021-03-21 19:26:31] 76561198036774377: Spawned Entity Boxed 9x19mm Rounds (AmmoBox_9x19_25rnd<ee281540>, -1, 100) at <12400.948242, 49.423466, 5330.826660>
[COT 2021-03-21 19:26:31] 76561198036774377: Spawned Entity Boxed 9x19mm Rounds (AmmoBox_9x19_25rnd<ee27d5b0>, -1, 100) at <12400.948242, 49.423466, 5330.826660>
[COT 2021-03-21 19:26:32] 76561198036774377: Spawned Entity Boxed 9x19mm Rounds (AmmoBox_9x19_25rnd<ee27c080>, -1, 100) at <12400.948242, 49.423466, 5330.826660>
[COT 2021-03-21 19:26:32] 76561198036774377: Spawned Entity Boxed 9x19mm Rounds (AmmoBox_9x19_25rnd<ee290c70>, -1, 100) at <12400.948242, 49.423466, 5330.826660>
[COT 2021-03-21 19:26:32] 76561198036774377: Spawned Entity Boxed 9x19mm Rounds (AmmoBox_9x19_25rnd<ee289460>, -1, 100) at <12400.948242, 49.423466, 5330.826660>
[COT 2021-03-21 19:26:32] 76561198036774377: Spawned Entity Boxed 9x19mm Rounds (AmmoBox_9x19_25rnd<ee295a20>, -1, 100) at <12400.948242, 49.423466, 5330.826660>
[COT 2021-03-21 19:26:32] 76561198036774377: Spawned Entity Boxed 9x19mm Rounds (AmmoBox_9x19_25rnd<ee294c00>, -1, 100) at <12400.948242, 49.423466, 5330.826660>
[COT 2021-03-21 19:26:32] 76561198036774377: Spawned Entity Boxed 9x19mm Rounds (AmmoBox_9x19_25rnd<ee291380>, -1, 100) at <12400.948242, 49.423466, 5330.826660>
