[COT 2021-04-11 02:53:15] 76561198036774377: Set GodMode To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-04-11 02:53:15] 76561198036774377: Set UnlimitedAmmo To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-04-11 02:53:15] 76561198036774377: Set UnlimitedStamina To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-04-11 02:53:30] 76561198036774377: Teleported to position <12101.432617, 136.344116, 12370.115234>
[COT 2021-04-11 02:53:34] 76561198036774377: Entered the Free Camera
[COT 2021-04-11 02:55:29] 76561198036774377: Teleported to position <5027.248047, 323.636658, 10578.878906>
[COT 2021-04-11 02:55:33] 76561198036774377: Left the Free Camera
[COT 2021-04-11 02:55:38] 76561198036774377: Entered the Free Camera
[COT 2021-04-11 02:58:17] 76561198036774377: Teleported to position <2729.117920, 209.693573, 5462.570801>
[COT 2021-04-11 02:58:21] 76561198036774377: Left the Free Camera
[COT 2021-04-11 02:58:33] 76561198036774377: Entered the Free Camera
[COT 2021-04-11 02:59:05] 76561198036774377: Teleported to position <3747.796387, 403.124939, 5976.557129>
[COT 2021-04-11 02:59:08] 76561198036774377: Left the Free Camera
[COT 2021-04-11 03:01:45] 76561198036774377: Entered the Free Camera
[COT 2021-04-11 03:01:48] 76561198036774377: Left the Free Camera
[COT 2021-04-11 03:12:08] 76561198036774377: Teleported to position <5388.281738, 309.796509, 5713.710938>
[COT 2021-04-11 03:19:49] 76561198036774377: Spawned Entity Brick of Black Frost Weed (CP_CannabisBrickBlackFrost<eb993f20>, -1, 30) at <2029.595337, 257.031860, 7313.215820>
[COT 2021-04-11 03:21:27] 76561198036774377: Spawned Entity Military Binoculars (MassBinocs<e510c760>, -1, 70) at <2029.697754, 257.034607, 7312.199707>
[COT 2021-04-11 03:21:27] 76561198036774377: Spawned Entity Military Binoculars (MassBinocs<e5114f80>, -1, 70) at <2029.697754, 257.034607, 7312.199707>
[COT 2021-04-11 03:21:27] 76561198036774377: Spawned Entity Military Binoculars (MassBinocs<e8fbd960>, -1, 70) at <2029.697754, 257.034607, 7312.199707>
[COT 2021-04-11 03:21:28] 76561198036774377: Spawned Entity Military Binoculars (MassBinocs<e8fca590>, -1, 70) at <2029.697754, 257.034607, 7312.199707>
[COT 2021-04-11 03:21:28] 76561198036774377: Spawned Entity Military Binoculars (MassBinocs<e8fb2b70>, -1, 70) at <2029.697754, 257.034607, 7312.199707>
[COT 2021-04-11 03:21:28] 76561198036774377: Spawned Entity Military Binoculars (MassBinocs<f230ba90>, -1, 70) at <2029.697754, 257.034607, 7312.199707>
[COT 2021-04-11 03:21:35] 76561198036774377: Spawned Entity The Shinigami (MassScope<f654f0b0>, -1, 100) at <2029.697754, 257.034607, 7312.199707>
[COT 2021-04-11 03:21:35] 76561198036774377: Spawned Entity The Shinigami (MassScope<f0126d70>, -1, 100) at <2029.697754, 257.034607, 7312.199707>
[COT 2021-04-11 03:21:36] 76561198036774377: Spawned Entity The Shinigami (MassScope<f011e550>, -1, 100) at <2029.697754, 257.034607, 7312.199707>
[COT 2021-04-11 03:21:36] 76561198036774377: Spawned Entity The Shinigami (MassScope<2fcc6a50>, -1, 100) at <2029.697754, 257.034607, 7312.199707>
[COT 2021-04-11 03:21:37] 76561198036774377: Spawned Entity Holographic Optic (ItemOptics<2fcd54c0>, -1, 100) at <2029.697754, 257.034607, 7312.199707>
[COT 2021-04-11 03:21:38] 76561198036774377: Spawned Entity Holographic Optic (ItemOptics<bfa03f20>, -1, 100) at <2029.697754, 257.034607, 7312.199707>
[COT 2021-04-11 03:21:38] 76561198036774377: Spawned Entity Holographic Optic (ItemOptics<bf9f72f0>, -1, 100) at <2029.697754, 257.034607, 7312.199707>
[COT 2021-04-11 03:21:38] 76561198036774377: Spawned Entity Holographic Optic (ItemOptics<f819ae50>, -1, 100) at <2029.697754, 257.034607, 7312.199707>
[COT 2021-04-11 03:21:40] 76561198036774377: Spawned Entity Holographic Optic (ItemOptics<f8178dd0>, -1, 100) at <2029.697754, 257.034607, 7312.199707>
[COT 2021-04-11 03:21:40] 76561198036774377: Spawned Entity Holographic Optic (ItemOptics<f4e19d70>, -1, 100) at <2029.697754, 257.034607, 7312.199707>
[COT 2021-04-11 03:21:40] 76561198036774377: Spawned Entity Holographic Optic (ItemOptics<f4e186c0>, -1, 100) at <2029.697754, 257.034607, 7312.199707>
[COT 2021-04-11 03:21:40] 76561198036774377: Spawned Entity Holographic Optic (ItemOptics<f4e17010>, -1, 100) at <2029.697754, 257.034607, 7312.199707>
[COT 2021-04-11 03:21:55] 76561198036774377: Spawned Entity Ratnik 6B45 Level 5 (MassRatnik<59f9d280>, -1, 100) at <2029.697754, 257.034607, 7312.199707>
[COT 2021-04-11 03:21:55] 76561198036774377: Spawned Entity Ratnik 6B45 Level 5 (MassRatnik<59f99800>, -1, 100) at <2029.697754, 257.034607, 7312.199707>
