[COT 2021-04-17 14:08:41] 76561198036774377: Set GodMode To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-04-17 14:08:41] 76561198036774377: Set UnlimitedAmmo To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-04-17 14:08:41] 76561198036774377: Set UnlimitedStamina To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-04-17 14:08:48] 76561198036774377: Teleported to position <474.881287, 421.872620, 11194.063477>
[COT 2021-04-17 14:08:52] 76561198036774377: Entered the Free Camera
[COT 2021-04-17 14:12:22] 76561198036774377: Spawned Entity MVS Combat Belt - Black (Modular_Belt_Base<7b2a2e10>, -1, 100) at <450.133942, 422.849091, 11169.745117>
[COT 2021-04-17 14:12:22] 76561198036774377: Spawned Entity MVS Combat Belt - Black (Modular_Belt_Base<7b2a6140>, -1, 100) at <450.133942, 422.849091, 11169.745117>
[COT 2021-04-17 14:12:22] 76561198036774377: Spawned Entity MVS Combat Belt - Black (Modular_Belt_Base<7b2a6890>, -1, 100) at <450.133942, 422.849091, 11169.745117>
[COT 2021-04-17 14:12:22] 76561198036774377: Spawned Entity MVS Combat Belt - Black (Modular_Belt_Base<7b29fae0>, -1, 100) at <450.133942, 422.849091, 11169.745117>
[COT 2021-04-17 14:12:22] 76561198036774377: Spawned Entity MVS Combat Belt - Black (Modular_Belt_Base<7b2aaa60>, -1, 100) at <450.133942, 422.849091, 11169.745117>
[COT 2021-04-17 14:12:22] 76561198036774377: Spawned Entity MVS Combat Belt - Black (Modular_Belt_Base<7b2a9bc0>, -1, 100) at <450.133942, 422.849091, 11169.745117>
[COT 2021-04-17 14:12:29] 76561198036774377: Spawned Entity MVS Combat Belt - OD (Modular_Belt_Base<7b2b0970>, -1, 100) at <445.511108, 422.849091, 11169.105469>
[COT 2021-04-17 14:12:29] 76561198036774377: Spawned Entity MVS Combat Belt - OD (Modular_Belt_Base<7b2b0220>, -1, 100) at <445.511108, 422.849091, 11169.105469>
[COT 2021-04-17 14:12:29] 76561198036774377: Spawned Entity MVS Combat Belt - OD (Modular_Belt_Base<7b2aec30>, -1, 100) at <445.511108, 422.849091, 11169.105469>
[COT 2021-04-17 14:12:29] 76561198036774377: Spawned Entity MVS Combat Belt - OD (Modular_Belt_Base<7b2afad0>, -1, 100) at <445.511108, 422.849091, 11169.105469>
