[COT 2021-01-20 09:17:22] 76561198036774377: Spawned Entity  (Building<c6f78630>, -1, 0) at <6552.270996, 336.100281, 9307.433594>
[COT 2021-01-20 09:17:23] 76561198036774377: Spawned Entity  (Building<c6f77f60>, -1, 0) at <6552.270996, 336.100281, 9307.433594>
[COT 2021-01-20 09:17:24] 76561198036774377: Spawned Entity  (Building<c6f7b5e0>, -1, 0) at <6552.270996, 336.100281, 9307.433594>
[COT 2021-01-20 09:17:25] 76561198036774377: Spawned Entity  (Building<c6f748e0>, -1, 0) at <6552.270996, 336.100281, 9307.433594>
[COT 2021-01-20 09:17:25] 76561198036774377: Spawned Entity  (Building<c6f75680>, -1, 0) at <6552.270996, 336.100281, 9307.433594>
[COT 2021-01-20 09:19:00] 76561198036774377: Spawned Entity Brick of Skunk Weed (CP_CannabisBrickSkunk<2ede4790>, -1, 30) at <6552.702637, 336.082092, 9307.878906>
[COT 2021-01-20 09:19:01] 76561198036774377: Spawned Entity Brick of Skunk Weed (CP_CannabisBrickSkunk<2eded4d0>, -1, 30) at <6552.702637, 336.082092, 9307.878906>
[COT 2021-01-20 09:19:01] 76561198036774377: Spawned Entity Brick of Skunk Weed (CP_CannabisBrickSkunk<2edef820>, -1, 30) at <6552.702637, 336.082092, 9307.878906>
[COT 2021-01-20 09:19:51] 76561198036774377: Teleported to position <3447.998291, 291.908661, 8569.593750>
[COT 2021-01-20 09:20:29] 76561198036774377: Spawned Entity Medic Military Tent (LargeTent_Medic<d0ca6e60>, -1, 2000) at <3447.998291, 291.908661, 8569.593750>
[COT 2021-01-20 09:21:28] 76561198036774377: Spawned Entity Tetracycline Pills (TetracyclineAntibiotics<34565bc0>, 12, 30) at <3449.102783, 292.218872, 8565.931641>
[COT 2021-01-20 09:21:29] 76561198036774377: Spawned Entity Tetracycline Pills (TetracyclineAntibiotics<345778f0>, 12, 30) at <3449.102783, 292.218872, 8565.931641>
[COT 2021-01-20 09:21:29] 76561198036774377: Spawned Entity Tetracycline Pills (TetracyclineAntibiotics<34578790>, 12, 30) at <3449.102783, 292.218872, 8565.931641>
[COT 2021-01-20 09:21:29] 76561198036774377: Spawned Entity Tetracycline Pills (TetracyclineAntibiotics<2c4a1bb0>, 12, 30) at <3449.102783, 292.218872, 8565.931641>
[COT 2021-01-20 09:21:29] 76561198036774377: Spawned Entity Tetracycline Pills (TetracyclineAntibiotics<2c46f750>, 12, 30) at <3449.102783, 292.218872, 8565.931641>
[COT 2021-01-20 09:21:36] 76561198036774377: Spawned Entity Chlorine Tablets (PurificationTablets<2c46fea0>, 10, 30) at <3449.102783, 292.218872, 8565.931641>
[COT 2021-01-20 09:21:37] 76561198036774377: Spawned Entity Chlorine Tablets (PurificationTablets<2c47e150>, 10, 30) at <3449.102783, 292.218872, 8565.931641>
[COT 2021-01-20 09:21:37] 76561198036774377: Spawned Entity Chlorine Tablets (PurificationTablets<3529ff70>, 10, 30) at <3449.102783, 292.218872, 8565.931641>
[COT 2021-01-20 09:21:37] 76561198036774377: Spawned Entity Chlorine Tablets (PurificationTablets<3529bda0>, 10, 30) at <3449.102783, 292.218872, 8565.931641>
[COT 2021-01-20 09:21:37] 76561198036774377: Spawned Entity Chlorine Tablets (PurificationTablets<3529e980>, 10, 30) at <3449.102783, 292.218872, 8565.931641>
[COT 2021-01-20 09:21:37] 76561198036774377: Spawned Entity Chlorine Tablets (PurificationTablets<35299910>, 10, 30) at <3449.102783, 292.218872, 8565.931641>
[COT 2021-01-20 09:21:45] 76561198036774377: Spawned Entity Bandage (BandageDressing<32579cf0>, 4, 50) at <3449.102783, 292.218872, 8565.931641>
[COT 2021-01-20 09:21:45] 76561198036774377: Spawned Entity Bandage (BandageDressing<32591340>, 4, 50) at <3449.102783, 292.218872, 8565.931641>
[COT 2021-01-20 09:21:45] 76561198036774377: Spawned Entity Bandage (BandageDressing<3258eff0>, 4, 50) at <3449.102783, 292.218872, 8565.931641>
[COT 2021-01-20 09:21:45] 76561198036774377: Spawned Entity Bandage (BandageDressing<32571dd0>, 4, 50) at <3449.102783, 292.218872, 8565.931641>
[COT 2021-01-20 09:21:45] 76561198036774377: Spawned Entity Bandage (BandageDressing<325724e0>, 4, 50) at <3449.102783, 292.218872, 8565.931641>
[COT 2021-01-20 09:21:46] 76561198036774377: Spawned Entity Bandage (BandageDressing<330a8050>, 4, 50) at <3449.102783, 292.218872, 8565.931641>
[COT 2021-01-20 09:21:46] 76561198036774377: Spawned Entity Bandage (BandageDressing<330a2480>, 4, 50) at <3449.102783, 292.218872, 8565.931641>
[COT 2021-01-20 09:21:46] 76561198036774377: Spawned Entity Bandage (BandageDressing<330ab1c0>, 4, 50) at <3449.102783, 292.218872, 8565.931641>
[COT 2021-01-20 09:21:53] 76561198036774377: Spawned Entity IV Saline Bag (SalineBagIV<330b29d0>, -1, 20) at <3449.102783, 292.218872, 8565.931641>
[COT 2021-01-20 09:21:53] 76561198036774377: Spawned Entity IV Saline Bag (SalineBagIV<2f76b100>, -1, 20) at <3449.102783, 292.218872, 8565.931641>
[COT 2021-01-20 09:21:53] 76561198036774377: Spawned Entity IV Saline Bag (SalineBagIV<2f764710>, -1, 20) at <3449.102783, 292.218872, 8565.931641>
[COT 2021-01-20 09:21:53] 76561198036774377: Spawned Entity IV Saline Bag (SalineBagIV<29ad1130>, -1, 20) at <3449.102783, 292.218872, 8565.931641>
