[COT 2021-02-24 03:43:24] 76561198036774377: Spawned Entity Boxed Nails (NailBox<5eefeb10>, -1, 80) at <3001.874756, 369.562897, 6729.510254>
[COT 2021-02-24 03:43:25] 76561198036774377: Spawned Entity Boxed Nails (NailBox<5ef00750>, -1, 80) at <3001.874756, 369.562897, 6729.510254>
[COT 2021-02-24 03:43:25] 76561198036774377: Spawned Entity Boxed Nails (NailBox<5eefa470>, -1, 80) at <3001.874756, 369.562897, 6729.510254>
[COT 2021-02-24 03:43:25] 76561198036774377: Spawned Entity Boxed Nails (NailBox<5eeff930>, -1, 80) at <3001.874756, 369.562897, 6729.510254>
[COT 2021-02-24 03:43:32] 76561198036774377: Spawned Entity Wooden log (WoodenLog<5ef08670>, 1, 500) at <3001.874756, 369.562897, 6729.510254>
[COT 2021-02-24 03:43:32] 76561198036774377: Spawned Entity Wooden log (WoodenLog<5ef00e60>, 1, 500) at <3001.874756, 369.562897, 6729.510254>
[COT 2021-02-24 03:43:32] 76561198036774377: Spawned Entity Wooden log (WoodenLog<6353e880>, 1, 500) at <3001.874756, 369.562897, 6729.510254>
[COT 2021-02-24 03:43:33] 76561198036774377: Spawned Entity Wooden log (WoodenLog<6356f160>, 1, 500) at <3001.874756, 369.562897, 6729.510254>
[COT 2021-02-24 03:43:41] 76561198036774377: Spawned Entity Metal Wire (MetalWire<fd90ebd0>, -1, 500) at <3001.874756, 369.562897, 6729.510254>
[COT 2021-02-24 03:43:58] 76561198036774377: Spawned Entity Flag (Flag_Rooster<5eefdcf0>, -1, 100) at <3001.874756, 369.562897, 6729.510254>
[COT 2021-02-24 03:44:14] 76561198036774377: Spawned Entity Rope (Rope<5eefeb10>, -1, 200) at <3005.232422, 369.575562, 6729.391602>
[COT 2021-02-24 03:44:58] 76561198036774377: Spawned Entity Hammer (Hammer<6356f160>, -1, 100) at <3004.741943, 369.572052, 6727.971680>
[COT 2021-02-24 03:46:44] 76561198036774377: Spawned Entity Base Flag Pole (BBP_Land_Claim_Pole<e76c0bd0>, -1, 70) at <3006.542969, 369.573456, 6726.509766>
[COT 2021-02-24 03:47:30] 76561198036774377: Spawned Entity Hardigg 2 (hardigg2_Mung<5b71ae10>, -1, 1.21575e+09) at <3009.603516, 369.566223, 6725.208496>
[COT 2021-02-24 03:47:33] 76561198036774377: Spawned Entity Hardigg 2 (hardigg2_Mung_camo<5b716770>, -1, 1.21575e+09) at <3010.650146, 369.572876, 6726.121094>
[COT 2021-02-24 03:47:35] 76561198036774377: Spawned Entity Hardigg 2 (hardigg2_Mung_snow<5b71df80>, -1, 1.21575e+09) at <3011.555420, 369.576141, 6726.334961>
[COT 2021-02-24 03:47:39] 76561198036774377: Spawned Entity Hardigg 2.5 (hardigg3_mung<5b721800>, -1, 1.21575e+09) at <3012.513184, 370.004791, 6727.619629>
[COT 2021-02-24 03:48:58] 76561198036774377: Spawned vehicle Ada 4x4 (OffroadHatchback) at <3018.570801, 369.427063, 6751.703125>
[COT 2021-02-24 03:49:01] 76561198036774377: Spawned vehicle Gunter 2 (Hatchback_02) at <3022.371094, 369.439636, 6750.048828>
[COT 2021-02-24 03:49:05] 76561198036774377: Spawned vehicle Sarka 120 (Sedan_02) at <3024.953369, 369.473389, 6744.600098>
[COT 2021-02-24 03:49:22] 76561198036774377: Deleted Entity BBP_Land_Claim_Pole:031862 at <3006.542969, 371.529480, 6726.509766>
[COT 2021-02-24 03:50:59] 76561198036774377: Spawned Entity Future Cannabis Seeds (SeedBase<44de3700>, 20, 100) at <3034.071777, 369.565704, 6750.077637>
[COT 2021-02-24 03:52:08] 76561198036774377: Teleported to position <3741.843262, 402.325378, 6008.145508>
