[COT 2021-03-06 04:32:53] 76561198036774377: Set GodMode To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-06 04:32:53] 76561198036774377: Set UnlimitedAmmo To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-06 04:32:53] 76561198036774377: Set UnlimitedStamina To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-06 04:33:59] 76561198036774377: Teleported to position <2547.349121, 191.654495, 5148.984375>
[COT 2021-03-06 04:34:05] 76561198036774377: Entered the Free Camera
[COT 2021-03-06 04:35:05] 76561198036774377: Left the Free Camera
[COT 2021-03-06 04:48:56] 76561198036774377: Spawned Entity 5.56 DMR 40 round Pmag (TTC_DMR_556Pmag_40rnd<e43725c0>, 1, 100) at <3698.861816, 402.381317, 5994.870117>
[COT 2021-03-06 04:48:56] 76561198036774377: Spawned Entity 5.56 DMR 40 round Pmag (TTC_DMR_556Pmag_40rnd<cbf66e0>, 1, 100) at <3698.861816, 402.381317, 5994.870117>
[COT 2021-03-06 04:48:57] 76561198036774377: Spawned Entity 5.56 DMR 40 round Pmag (TTC_DMR_556Pmag_40rnd<cc0a8a0>, 1, 100) at <3698.861816, 402.381317, 5994.870117>
[COT 2021-03-06 04:48:58] 76561198036774377: Spawned Entity 5.56 DMR 40 round Pmag (TTC_DMR_556Pmag_40rnd<e83eb660>, 1, 100) at <3698.861816, 402.381317, 5994.870117>
[COT 2021-03-06 04:48:59] 76561198036774377: Spawned Entity 5.56 DMR 40 round Pmag (TTC_DMR_556Pmag_40rnd<fac3e460>, 1, 100) at <3698.861816, 402.381317, 5994.870117>
[COT 2021-03-06 04:48:59] 76561198036774377: Spawned Entity 5.56 DMR 40 round Pmag (TTC_DMR_556Pmag_40rnd<fac3a290>, 1, 100) at <3698.861816, 402.381317, 5994.870117>
[COT 2021-03-06 04:49:00] 76561198036774377: Spawned Entity 5.56 DMR 40 round Pmag (TTC_DMR_556Pmag_40rnd<fac1aa00>, 1, 100) at <3698.861816, 402.381317, 5994.870117>
[COT 2021-03-06 04:49:00] 76561198036774377: Spawned Entity 5.56 DMR 40 round Pmag (TTC_DMR_556Pmag_40rnd<db53390>, 1, 100) at <3698.861816, 402.381317, 5994.870117>
[COT 2021-03-06 04:49:18] 76561198036774377: Spawned Entity VultAR DMR Mod-15 5.56 (TTC_ModDMR556_Base<321ef440>, -1, 300) at <3698.861816, 402.381317, 5994.870117>
[COT 2021-03-06 04:49:21] 76561198036774377: Spawned Entity VultAR DMR Mod-15 5.56 (TTC_ModDMR556_Base<32207e20>, -1, 300) at <3698.861816, 402.381317, 5994.870117>
[COT 2021-03-06 04:49:23] 76561198036774377: Spawned Entity VultAR DMR Mod-15 5.56 (TTC_ModDMR556_Base<3220e4e0>, -1, 300) at <3698.861816, 402.381317, 5994.870117>
[COT 2021-03-06 04:49:25] 76561198036774377: Spawned Entity VultAR DMR Mod-15 5.56 (TTC_ModDMR556_Base<3220d3c0>, -1, 300) at <3698.861816, 402.381317, 5994.870117>
[COT 2021-03-06 04:49:26] 76561198036774377: Spawned Entity VultAR DMR Mod-15 5.56 (TTC_ModDMR556_Base<321f74b0>, -1, 300) at <3698.861816, 402.381317, 5994.870117>
[COT 2021-03-06 04:49:28] 76561198036774377: Spawned Entity VultAR DMR Mod-15 5.56 (TTC_ModDMR556_Base<321f0560>, -1, 300) at <3698.861816, 402.381317, 5994.870117>
[COT 2021-03-06 04:49:29] 76561198036774377: Spawned Entity VultAR DMR Mod-15 5.56 (TTC_ModDMR556_Base<32204230>, -1, 300) at <3698.861816, 402.381317, 5994.870117>
[COT 2021-03-06 04:49:31] 76561198036774377: Spawned Entity VultAR DMR Mod-15 7.62x54 (TTC_ModDMR762_Base<321fd2e0>, -1, 300) at <3698.861816, 402.381317, 5994.870117>
[COT 2021-03-06 04:50:16] 76561198036774377: Spawned Entity DMR AFG (TTC_DMR_AFG<3730450>, -1, 100) at <3698.861816, 402.381317, 5994.870117>
[COT 2021-03-06 04:50:16] 76561198036774377: Spawned Entity DMR AFG (TTC_DMR_AFG<372af90>, -1, 100) at <3698.861816, 402.381317, 5994.870117>
[COT 2021-03-06 04:50:16] 76561198036774377: Spawned Entity DMR AFG (TTC_DMR_AFG<372bdb0>, -1, 100) at <3698.861816, 402.381317, 5994.870117>
[COT 2021-03-06 04:50:17] 76561198036774377: Spawned Entity DMR AFG (TTC_DMR_AFG<3722960>, -1, 100) at <3698.861816, 402.381317, 5994.870117>
[COT 2021-03-06 04:50:17] 76561198036774377: Spawned Entity DMR AFG (TTC_DMR_AFG<368bd140>, -1, 100) at <3698.861816, 402.381317, 5994.870117>
[COT 2021-03-06 04:50:17] 76561198036774377: Spawned Entity DMR AFG (TTC_DMR_AFG<368be670>, -1, 100) at <3698.861816, 402.381317, 5994.870117>
[COT 2021-03-06 04:50:21] 76561198036774377: Spawned Entity DMR VFG (TTC_DMR_VFG<3689e2e0>, -1, 100) at <3698.861816, 402.381317, 5994.870117>
[COT 2021-03-06 04:50:21] 76561198036774377: Spawned Entity DMR VFG (TTC_DMR_VFG<368abdd0>, -1, 100) at <3698.861816, 402.381317, 5994.870117>
[COT 2021-03-06 04:50:22] 76561198036774377: Spawned Entity DMR VFG (TTC_DMR_VFG<368ae120>, -1, 100) at <3698.861816, 402.381317, 5994.870117>
[COT 2021-03-06 04:50:22] 76561198036774377: Spawned Entity DMR VFG (TTC_DMR_VFG<368badf0>, -1, 100) at <3698.861816, 402.381317, 5994.870117>
[COT 2021-03-06 04:50:22] 76561198036774377: Spawned Entity DMR VFG (TTC_DMR_VFG<368bed80>, -1, 100) at <3698.861816, 402.381317, 5994.870117>
[COT 2021-03-06 04:50:22] 76561198036774377: Spawned Entity DMR VFG (TTC_DMR_VFG<368c73b0>, -1, 100) at <3698.861816, 402.381317, 5994.870117>
