[COT 2021-04-11 22:15:30] 76561198036774377: Set GodMode To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-04-11 22:15:30] 76561198036774377: Set UnlimitedAmmo To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-04-11 22:15:30] 76561198036774377: Set UnlimitedStamina To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-04-11 22:15:41] 76561198036774377: Teleported to position <455.112701, 421.818268, 11200.429688>
[COT 2021-04-11 22:28:39] 76561198036774377: Spawned Entity 762x39 Airsoft rounds (Ammo_762x39<c99330d0>, 1, 100) at <456.148041, 422.889069, 11169.548828>
[COT 2021-04-11 22:28:39] 76561198036774377: Spawned Entity 762x39 Airsoft rounds (Ammo_762x39<c9933f70>, 1, 100) at <456.148041, 422.889069, 11169.548828>
[COT 2021-04-11 22:28:40] 76561198036774377: Spawned Entity 762x39 Airsoft rounds (Ammo_762x39<c9936b50>, 1, 100) at <456.148041, 422.889069, 11169.548828>
[COT 2021-04-11 22:28:40] 76561198036774377: Spawned Entity 762x39 Airsoft rounds (Ammo_762x39<c9935560>, 1, 100) at <456.148041, 422.889069, 11169.548828>
[COT 2021-04-11 22:28:40] 76561198036774377: Spawned Entity 762x39 Airsoft rounds (Ammo_762x39<c99372a0>, 1, 100) at <456.148041, 422.889069, 11169.548828>
[COT 2021-04-11 22:28:40] 76561198036774377: Spawned Entity 762x39 Airsoft rounds (Ammo_762x39<c99304f0>, 1, 100) at <456.148041, 422.889069, 11169.548828>
[COT 2021-04-11 22:28:40] 76561198036774377: Spawned Entity 762x39 Airsoft rounds (Ammo_762x39<c9934e10>, 1, 100) at <456.148041, 422.889069, 11169.548828>
[COT 2021-04-11 22:28:41] 76561198036774377: Spawned Entity 762x39 Airsoft rounds (Ammo_762x39<c99379f0>, 1, 100) at <456.148041, 422.889069, 11169.548828>
[COT 2021-04-11 22:28:41] 76561198036774377: Spawned Entity 762x39 Airsoft rounds (Ammo_762x39<c9938140>, 1, 100) at <456.148041, 422.889069, 11169.548828>
[COT 2021-04-11 22:28:41] 76561198036774377: Spawned Entity 762x39 Airsoft rounds (Ammo_762x39<c9935cb0>, 1, 100) at <456.148041, 422.889069, 11169.548828>
[COT 2021-04-11 22:28:41] 76561198036774377: Spawned Entity 762x39 Airsoft rounds (Ammo_762x39<c9932980>, 1, 100) at <456.148041, 422.889069, 11169.548828>
