[COT 2021-03-20 04:04:27] 76561198036774377: Set GodMode To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-20 04:04:27] 76561198036774377: Set UnlimitedAmmo To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-20 04:04:27] 76561198036774377: Set UnlimitedStamina To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-20 04:04:30] 76561198036774377: Healed [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-20 04:04:36] 76561198036774377: Entered the Free Camera
[COT 2021-03-20 04:08:51] 76561198036774377: Spawned Entity Packed S1 Hemp Seeds (CP_CannabisSeedsPackS1<666552f0>, -1, 5) at <10367.881836, 6.977650, 1664.857544>
[COT 2021-03-20 04:08:53] 76561198036774377: Spawned Entity Packed Cannabis Nomad Seeds (CP_CannabisSeedsPackNomad<64a6fee0>, -1, 5) at <10367.204102, 6.977650, 1665.259521>
[COT 2021-03-20 04:08:55] 76561198036774377: Spawned Entity Packed Cannabis BlackFrost Seeds (CP_CannabisSeedsPackBlackFrost<591acbb0>, -1, 5) at <10366.792969, 6.977651, 1664.604370>
[COT 2021-03-20 04:08:58] 76561198036774377: Spawned Entity Packed Tobacco Seeds (CP_TobaccoSeedsPack<591982a0>, -1, 5) at <10366.815430, 6.995894, 1664.577759>
[COT 2021-03-20 04:09:18] 76561198036774377: Spawned vehicle Olga 24 (CivilianSedan) at <10397.497070, 7.167408, 1673.083374>
[COT 2021-03-20 04:09:35] 76561198036774377: Left the Free Camera
[COT 2021-03-20 04:10:29] 76561198036774377: Entered the Free Camera
[COT 2021-03-20 04:11:03] 76561198036774377: Spawned Entity Jason Maske (GasMask<b6b2f10>, -1, 300) at <10373.804688, 7.573638, 1669.034546>
[COT 2021-03-20 04:11:05] 76561198036774377: Spawned Entity Jason Maske (GasMask<b6b7f80>, -1, 300) at <10374.000977, 7.573638, 1668.721680>
[COT 2021-03-20 04:11:07] 76561198036774377: Spawned Entity Jason Maske (GasMask<b6c1910>, -1, 300) at <10373.609375, 7.573638, 1668.716675>
[COT 2021-03-20 04:11:10] 76561198036774377: Spawned Entity Jason Machete (Machete<15b46ed0>, -1, 200) at <10373.839844, 7.573638, 1668.510986>
[COT 2021-03-20 04:11:11] 76561198036774377: Spawned Entity Jason Machete (Machete<15b475e0>, -1, 200) at <10374.171875, 7.802046, 1668.827515>
