[COT 2021-03-07 22:40:03] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<61a41350>, 100, 100) at <10460.659180, 9.514366, 2259.215820>
[COT 2021-03-07 22:40:03] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<61a43ba0>, 100, 100) at <10460.639648, 9.529862, 2259.217773>
[COT 2021-03-07 22:40:04] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<61a48c40>, 100, 100) at <10460.629883, 9.537254, 2259.218994>
[COT 2021-03-07 22:40:04] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<61a49450>, 100, 100) at <10460.624023, 9.541264, 2259.219727>
[COT 2021-03-07 22:40:04] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<61a443b0>, 100, 100) at <10460.653320, 9.519463, 2259.216553>
[COT 2021-03-07 22:40:04] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<61a47410>, 100, 100) at <10460.649414, 9.522144, 2259.217041>
[COT 2021-03-07 22:40:04] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<61a453d0>, 100, 100) at <10461.590820, 8.813903, 2259.110596>
[COT 2021-03-07 22:40:04] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<61a47c20>, 100, 100) at <10462.545898, 8.094605, 2259.002441>
[COT 2021-03-07 22:40:05] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<61a42b80>, 100, 100) at <10462.044922, 8.471942, 2259.059082>
[COT 2021-03-07 22:40:05] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<61a43390>, 100, 100) at <10461.278320, 9.049456, 2259.145752>
[COT 2021-03-07 22:40:05] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<61a46c00>, 100, 100) at <10461.278320, 9.049456, 2259.145752>
[COT 2021-03-07 22:40:05] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<61a44bc0>, 100, 100) at <10459.987305, 10.021004, 2259.291504>
[COT 2021-03-07 22:40:05] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<61a45be0>, 100, 100) at <10461.707031, 8.725832, 2259.097412>
[COT 2021-03-07 22:40:05] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<61a4ccc0>, 100, 100) at <10460.965820, 9.284658, 2259.181152>
[COT 2021-03-07 22:40:06] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<61a52570>, 100, 100) at <10460.965820, 9.284658, 2259.181152>
[COT 2021-03-07 22:40:06] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<61a51550>, 100, 100) at <10460.653320, 9.519897, 2259.216553>
[COT 2021-03-07 22:40:06] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<61a4b490>, 100, 100) at <10459.674805, 10.256415, 2259.326904>
[COT 2021-03-07 22:40:06] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<61a4d4d0>, 100, 100) at <10459.674805, 10.256415, 2259.326904>
[COT 2021-03-07 22:40:06] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<61a4e4f0>, 100, 100) at <10459.858398, 10.118084, 2259.306152>
[COT 2021-03-07 22:40:07] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<61a48430>, 100, 100) at <10459.362305, 10.490971, 2259.362061>
[COT 2021-03-07 22:40:07] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<61a59650>, 100, 100) at <10459.360352, 10.492409, 2259.362305>
[COT 2021-03-07 22:40:07] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<61a5bea0>, 100, 100) at <10459.647461, 10.276582, 2259.330078>
[COT 2021-03-07 22:40:07] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<61a545b0>, 100, 100) at <10463.013672, 7.743186, 2258.950195>
[COT 2021-03-07 22:40:07] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<61a59e60>, 100, 100) at <10461.012695, 9.250030, 2259.176270>
[COT 2021-03-07 22:40:07] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<61a5cec0>, 100, 100) at <10460.339844, 9.755762, 2259.251953>
[COT 2021-03-07 22:40:08] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<61a5ae80>, 100, 100) at <10460.339844, 9.756121, 2259.251953>
[COT 2021-03-07 22:40:08] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<61a5a670>, 100, 100) at <10460.339844, 9.756329, 2259.251221>
[COT 2021-03-07 22:40:08] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<61a555d0>, 100, 100) at <10460.026367, 9.991094, 2259.287109>
[COT 2021-03-07 22:40:08] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<61a5d6d0>, 100, 100) at <10460.339844, 9.755892, 2259.251953>
[COT 2021-03-07 22:40:08] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<61a4ac80>, 100, 100) at <10460.689453, 9.492524, 2259.212402>
[COT 2021-03-07 22:40:08] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<61a5e6f0>, 100, 100) at <10460.602539, 9.557564, 2259.221924>
[COT 2021-03-07 22:40:09] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<61a61750>, 100, 100) at <10459.035156, 10.738215, 2259.399414>
[COT 2021-03-07 22:40:09] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<61a657d0>, 100, 100) at <10459.000977, 10.763523, 2259.402832>
[COT 2021-03-07 22:40:09] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<61a667f0>, 100, 100) at <10459.021484, 10.747895, 2259.400879>
[COT 2021-03-07 22:40:09] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<61a61f60>, 100, 100) at <10458.721680, 10.973166, 2259.434570>
[COT 2021-03-07 22:40:09] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<61a63790>, 100, 100) at <10458.721680, 10.973166, 2259.434570>
[COT 2021-03-07 22:40:10] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<61a5f710>, 100, 100) at <10457.353516, 12.003573, 2259.589111>
[COT 2021-03-07 22:40:10] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<61a41b60>, 100, 100) at <10456.440430, 12.691382, 2259.692627>
[COT 2021-03-07 22:40:10] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<6cbae580>, 100, 100) at <10458.409180, 11.209087, 2259.469971>
[COT 2021-03-07 22:40:10] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<6cbad560>, 100, 100) at <10457.041016, 12.238890, 2259.624512>
[COT 2021-03-07 22:40:10] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<6cba84c0>, 100, 100) at <10456.439453, 12.691382, 2259.692383>
[COT 2021-03-07 22:40:10] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<6cbac540>, 100, 100) at <10456.439453, 12.691382, 2259.692383>
[COT 2021-03-07 22:40:11] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<6cbab520>, 100, 100) at <10463.176758, 7.620147, 2258.931641>
[COT 2021-03-07 22:40:11] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<6cbb0dd0>, 100, 100) at <10460.272461, 9.806208, 2259.259277>
[COT 2021-03-07 22:40:11] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<6cbb15e0>, 100, 100) at <10456.439453, 12.691382, 2259.692383>
[COT 2021-03-07 22:40:11] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<6cbb1df0>, 100, 100) at <10456.439453, 12.691382, 2259.692383>
[COT 2021-03-07 22:40:11] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<6cbaad10>, 100, 100) at <10458.094727, 11.444957, 2259.505127>
[COT 2021-03-07 22:40:11] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<6cbb9ef0>, 100, 100) at <10458.090820, 11.448719, 2259.505859>
