[COT 2021-03-19 22:06:38] 76561198036774377: Set GodMode To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-19 22:06:38] 76561198036774377: Set UnlimitedAmmo To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-19 22:06:38] 76561198036774377: Set UnlimitedStamina To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-19 23:10:11] 76561198036774377: Spawned Entity 1-M8 Smoke Grenade (M18SmokeGrenade_Red<9f25db0>, -1, 20) at <10386.549805, 6.183805, 1667.725098>
[COT 2021-03-19 23:10:11] 76561198036774377: Spawned Entity 1-M8 Smoke Grenade (M18SmokeGrenade_Red<8dc8e890>, -1, 20) at <10386.549805, 6.183805, 1667.725098>
[COT 2021-03-19 23:10:12] 76561198036774377: Spawned Entity 1-M8 Smoke Grenade (M18SmokeGrenade_Green<9cf52910>, -1, 20) at <10386.549805, 6.183805, 1667.725098>
[COT 2021-03-19 23:10:12] 76561198036774377: Spawned Entity 1-M8 Smoke Grenade (M18SmokeGrenade_Green<9cf54140>, -1, 20) at <10386.549805, 6.183805, 1667.725098>
[COT 2021-03-19 23:10:12] 76561198036774377: Spawned Entity 1-M8 Smoke Grenade (M18SmokeGrenade_Green<9cf518f0>, -1, 20) at <10386.549805, 6.183805, 1667.725098>
[COT 2021-03-19 23:10:12] 76561198036774377: Spawned Entity 1-M8 Smoke Grenade (M18SmokeGrenade_Green<9cf4e890>, -1, 20) at <10386.549805, 6.183805, 1667.725098>
[COT 2021-03-19 23:10:12] 76561198036774377: Spawned Entity 1-M8 Smoke Grenade (M18SmokeGrenade_Green<9cf52100>, -1, 20) at <10386.549805, 6.183805, 1667.725098>
[COT 2021-03-19 23:10:13] 76561198036774377: Spawned Entity 1-M8 Smoke Grenade (M18SmokeGrenade_Yellow<9cf4f0a0>, -1, 20) at <10386.549805, 6.183805, 1667.725098>
[COT 2021-03-19 23:10:14] 76561198036774377: Spawned Entity 1-M8 Smoke Grenade (M18SmokeGrenade_Yellow<9cf510e0>, -1, 20) at <10386.549805, 6.183805, 1667.725098>
[COT 2021-03-19 23:10:14] 76561198036774377: Spawned Entity 1-M8 Smoke Grenade (M18SmokeGrenade_Yellow<9cf500c0>, -1, 20) at <10386.549805, 6.183805, 1667.725098>
