[COT 2021-02-19 00:49:30] 76561198036774377: Set GodMode To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-02-19 00:49:30] 76561198036774377: Set UnlimitedAmmo To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-02-19 00:49:41] 76561198036774377: Set rain to 0 0 0
[COT 2021-02-19 00:49:41] 76561198036774377: Set storm to 0 0.8 4000
[COT 2021-02-19 00:49:41] 76561198036774377: Set fog to 0.0745777 0 0
[COT 2021-02-19 00:49:41] 76561198036774377: Set overcast to 0.39723 0 0
[COT 2021-02-19 00:49:41] 76561198036774377: Set the date to 2021/10/5 6:14
[COT 2021-02-19 00:49:41] 76561198036774377: Set wind to 9.10803 9.10803 1
[COT 2021-02-19 00:49:52] 76561198036774377: Set rain to 0 0 0
[COT 2021-02-19 00:49:52] 76561198036774377: Set storm to 0 0.8 4000
[COT 2021-02-19 00:49:52] 76561198036774377: Set fog to 0.0745777 0 0
[COT 2021-02-19 00:49:52] 76561198036774377: Set overcast to 0.06 0 0
[COT 2021-02-19 00:49:52] 76561198036774377: Set the date to 2021/10/5 6:14
[COT 2021-02-19 00:49:52] 76561198036774377: Set wind to 0.09 0.09 1
[COT 2021-02-19 01:01:25] 76561198036774377: Spawned Entity VSSK_mag_5Rnd (Mag_SVD_10Rnd<68f99460>, 1, 100) at <967.343933, 111.046585, 3979.226074>
[COT 2021-02-19 01:01:25] 76561198036774377: Spawned Entity VSSK_mag_5Rnd (Mag_SVD_10Rnd<68f810d0>, 1, 100) at <967.343933, 111.046585, 3979.226074>
[COT 2021-02-19 01:01:26] 76561198036774377: Spawned Entity VSSK_mag_5Rnd (Mag_SVD_10Rnd<63e0d480>, 1, 100) at <967.343933, 111.046585, 3979.226074>
[COT 2021-02-19 01:01:26] 76561198036774377: Spawned Entity VSSK_mag_5Rnd (Mag_SVD_10Rnd<63e08410>, 1, 100) at <967.343933, 111.046585, 3979.226074>
[COT 2021-02-19 01:01:26] 76561198036774377: Spawned Entity VSSK_mag_5Rnd (Mag_SVD_10Rnd<d16862a0>, 1, 100) at <967.343933, 111.046585, 3979.226074>
[COT 2021-02-19 01:01:26] 76561198036774377: Spawned Entity VSSK_mag_5Rnd (Mag_SVD_10Rnd<6955e7b0>, 1, 100) at <967.343933, 111.046585, 3979.226074>
[COT 2021-02-19 01:02:34] 76561198036774377: Spawned Entity AmmoBox_50BMG_10Rnd (TWP_AmmoBox_50BMG_10Rnd<7637c830>, -1, 100) at <967.343933, 111.046585, 3979.226074>
[COT 2021-02-19 01:02:34] 76561198036774377: Spawned Entity AmmoBox_50BMG_10Rnd (TWP_AmmoBox_50BMG_10Rnd<703df1f0>, -1, 100) at <967.343933, 111.046585, 3979.226074>
[COT 2021-02-19 01:02:35] 76561198036774377: Spawned Entity AmmoBox_50BMG_10Rnd (TWP_AmmoBox_50BMG_10Rnd<703e9460>, -1, 100) at <967.343933, 111.046585, 3979.226074>
[COT 2021-02-19 01:02:35] 76561198036774377: Spawned Entity AmmoBox_50BMG_10Rnd (TWP_AmmoBox_50BMG_10Rnd<5538bde0>, -1, 100) at <967.343933, 111.046585, 3979.226074>
[COT 2021-02-19 01:02:36] 76561198036774377: Spawned Entity AmmoBox_50BMG_10Rnd (TWP_AmmoBox_50BMG_10Rnd<55394b20>, -1, 100) at <967.343933, 111.046585, 3979.226074>
[COT 2021-02-19 01:02:36] 76561198036774377: Spawned Entity AmmoBox_50BMG_10Rnd (TWP_AmmoBox_50BMG_10Rnd<6ec99c50>, -1, 100) at <967.343933, 111.046585, 3979.226074>
[COT 2021-02-19 01:02:53] 76561198036774377: Spawned Entity Brick of Stardawg Weed (CP_CannabisBrickStardawg<694ebac0>, -1, 30) at <967.343933, 111.046677, 3979.226074>
[COT 2021-02-19 01:02:55] 76561198036774377: Spawned Entity Brick of S1 Hemp (CP_CannabisBrickS1<76800f40>, -1, 30) at <967.343933, 111.046677, 3979.226074>
[COT 2021-02-19 01:03:47] 76561198036774377: Spawned Entity Optic_NCSTAR (HuntingOptic<df82d270>, -1, 50) at <967.343933, 111.072952, 3979.226074>
[COT 2021-02-19 01:03:49] 76561198036774377: Spawned Entity Optic_Vlife (HuntingOptic<df82bbc0>, -1, 50) at <967.343933, 111.072952, 3979.226074>
[COT 2021-02-19 01:03:57] 76561198036774377: Spawned Entity Optic_Steyr (HuntingOptic<df827f40>, -1, 50) at <967.343933, 111.072952, 3979.226074>
[COT 2021-02-19 01:04:04] 76561198036774377: Spawned Entity TWP_LongRangeOptic_Black (HuntingOptic<df8295f0>, -1, 100) at <967.343933, 111.072952, 3979.226074>
[COT 2021-02-19 01:04:05] 76561198036774377: Spawned Entity TWP_LongRangeOptic_Black (HuntingOptic<df82a510>, -1, 100) at <967.343933, 111.072952, 3979.226074>
[COT 2021-02-19 01:05:55] 76561198036774377: Teleported to position <3749.171143, 402.824127, 6009.839355>
