[COT 2021-02-06 23:05:14] 76561198036774377: Set GodMode To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-02-06 23:05:14] 76561198036774377: Set UnlimitedAmmo To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-02-06 23:05:38] 76561198036774377: Entered the Free Camera
[COT 2021-02-06 23:06:24] 76561198036774377: Teleported to position <1748.491699, 449.989990, 14027.447266>
[COT 2021-02-06 23:19:37] 76561198036774377: Spawned Entity 15rd Mlock-91 Mag (Mag_Glock_15Rnd<bb4d13a0>, 1, 100) at <1641.698364, 451.742493, 14183.065430>
[COT 2021-02-06 23:19:38] 76561198036774377: Spawned Entity 15rd Mlock-91 Mag (Mag_Glock_15Rnd<bb4d1af0>, 1, 100) at <1641.698364, 451.742493, 14183.065430>
[COT 2021-02-06 23:19:38] 76561198036774377: Spawned Entity 15rd Mlock-91 Mag (Mag_Glock_15Rnd<bb4cf660>, 1, 100) at <1641.698364, 451.742493, 14183.065430>
[COT 2021-02-06 23:19:38] 76561198036774377: Spawned Entity 15rd Mlock-91 Mag (Mag_Glock_15Rnd<bb4d3f80>, 1, 100) at <1641.698364, 451.742493, 14183.065430>
[COT 2021-02-06 23:21:13] 76561198036774377: Spawned Entity RO 991 Magazine (Mag_STANAG_30Rnd<bb4f4e00>, 1, 100) at <1641.698364, 451.742493, 14183.065430>
[COT 2021-02-06 23:21:13] 76561198036774377: Spawned Entity RO 991 Magazine (Mag_STANAG_30Rnd<bb504df0>, 1, 100) at <1641.698364, 451.742493, 14183.065430>
[COT 2021-02-06 23:21:14] 76561198036774377: Spawned Entity RO 991 Magazine (Mag_STANAG_30Rnd<bb5004d0>, 1, 100) at <1641.698364, 451.742493, 14183.065430>
[COT 2021-02-06 23:21:14] 76561198036774377: Spawned Entity RO 991 Magazine (Mag_STANAG_30Rnd<bb5030b0>, 1, 100) at <1641.698364, 451.742493, 14183.065430>
[COT 2021-02-06 23:21:14] 76561198036774377: Spawned Entity RO 991 Magazine (Mag_STANAG_30Rnd<bb4fe040>, 1, 100) at <1641.698364, 451.742493, 14183.065430>
[COT 2021-02-06 23:21:15] 76561198036774377: Spawned Entity RO 991 Magazine (Mag_STANAG_30Rnd<bb501ac0>, 1, 100) at <1641.698364, 451.742493, 14183.065430>
[COT 2021-02-06 23:21:15] 76561198036774377: Spawned Entity RO 991 Magazine (Mag_STANAG_30Rnd<bb4fe790>, 1, 100) at <1641.698364, 451.742493, 14183.065430>
[COT 2021-02-06 23:21:15] 76561198036774377: Spawned Entity RO 991 Magazine (Mag_STANAG_30Rnd<bb502210>, 1, 100) at <1641.698364, 451.742493, 14183.065430>
[COT 2021-02-06 23:21:16] 76561198036774377: Spawned Entity RO 991 Magazine (Mag_STANAG_30Rnd<bb503800>, 1, 100) at <1641.698364, 451.742493, 14183.065430>
[COT 2021-02-06 23:21:16] 76561198036774377: Spawned Entity RO 991 Magazine (Mag_STANAG_30Rnd<bb505c90>, 1, 100) at <1641.698364, 451.742493, 14183.065430>
[COT 2021-02-06 23:21:16] 76561198036774377: Spawned Entity RO 991 Magazine (Mag_STANAG_30Rnd<bb4feee0>, 1, 100) at <1641.698364, 451.742493, 14183.065430>
[COT 2021-02-06 23:21:16] 76561198036774377: Spawned Entity RO 991 Magazine (Mag_STANAG_30Rnd<bb5063e0>, 1, 100) at <1641.698364, 451.742493, 14183.065430>
[COT 2021-02-06 23:22:02] 76561198036774377: Spawned Entity Toxic cure (ToxicCure<cf747e30>, 1, 100) at <1641.698364, 451.742493, 14183.065430>
[COT 2021-02-06 23:22:02] 76561198036774377: Spawned Entity Toxic cure (ToxicCure<cf748540>, 1, 100) at <1641.698364, 451.742493, 14183.065430>
[COT 2021-02-06 23:22:03] 76561198036774377: Spawned Entity Toxic cure (ToxicCure<cf74da00>, 1, 100) at <1641.698364, 451.742493, 14183.065430>
[COT 2021-02-06 23:22:03] 76561198036774377: Spawned Entity Toxic cure (ToxicCure<cf746900>, 1, 100) at <1641.698364, 451.742493, 14183.065430>
[COT 2021-02-06 23:22:03] 76561198036774377: Spawned Entity Toxic cure (ToxicCure<cf74e110>, 1, 100) at <1641.698364, 451.742493, 14183.065430>
[COT 2021-02-06 23:22:03] 76561198036774377: Spawned Entity Toxic cure (ToxicCure<cf74c4d0>, 1, 100) at <1641.698364, 451.742493, 14183.065430>
[COT 2021-02-06 23:22:36] 76561198036774377: Spawned Entity Cat Ears (BeanieHat_ColorBase<cf720290>, -1, 100) at <1641.698364, 451.742493, 14183.065430>
[COT 2021-02-06 23:23:14] 76561198036774377: Spawned Entity Bag of Skunk Weed (CP_CannabisBagSkunk<cf969350>, 1, 30) at <1641.698364, 451.742493, 14183.065430>
[COT 2021-02-06 23:23:14] 76561198036774377: Spawned Entity Bag of Skunk Weed (CP_CannabisBagSkunk<cf963780>, 1, 30) at <1641.698364, 451.742493, 14183.065430>
[COT 2021-02-06 23:23:16] 76561198036774377: Spawned Entity Bag of Blue God Weed (CP_CannabisBagBlue<cf962250>, 1, 30) at <1641.698364, 451.742493, 14183.065430>
[COT 2021-02-06 23:23:16] 76561198036774377: Spawned Entity Bag of Blue God Weed (CP_CannabisBagBlue<cf96a170>, 1, 30) at <1641.698364, 451.742493, 14183.065430>
[COT 2021-02-06 23:23:17] 76561198036774377: Spawned Entity Bag of Purple Kush Weed (CP_CannabisBagKush<cf935900>, 1, 30) at <1641.698364, 451.742493, 14183.065430>
[COT 2021-02-06 23:23:17] 76561198036774377: Spawned Entity Bag of Purple Kush Weed (CP_CannabisBagKush<cf9351f0>, 1, 30) at <1641.698364, 451.742493, 14183.065430>
[COT 2021-02-06 23:23:18] 76561198036774377: Spawned Entity Bag of Stardawg Weed (CP_CannabisBagStardawg<cf932080>, 1, 30) at <1641.698364, 451.742493, 14183.065430>
[COT 2021-02-06 23:23:19] 76561198036774377: Spawned Entity Bag of Stardawg Weed (CP_CannabisBagStardawg<cf936e30>, 1, 30) at <1641.698364, 451.742493, 14183.065430>
[COT 2021-02-06 23:23:20] 76561198036774377: Spawned Entity Bag of Future Weed (CP_CannabisBagFuture<cf9343d0>, 1, 30) at <1641.698364, 451.742493, 14183.065430>
